Task 00001 Time:115ms
Task 00002 Time:20ms
Task 00003 Time:22ms
Task 00005 Time:11ms
Task 00006 Time:13ms
Task 00001 Time:110ms nrAxioms: 93 sizeLargestInferencePremise: 27 nrRuleApplications: 119
Task 00002 Time:34ms nrAxioms: 111 sizeLargestInferencePremise: 27 nrRuleApplications: 137
Task 00003 Time:20ms nrAxioms: 123 sizeLargestInferencePremise: 27 nrRuleApplications: 153
Task 00005 Time:18ms nrAxioms: 89 sizeLargestInferencePremise: 3 nrRuleApplications: 100
Task 00006 Time:13ms nrAxioms: 133 sizeLargestInferencePremise: 4 nrRuleApplications: 161
Task 00009 Time:137ms nrAxioms: 79 sizeLargestInferencePremise: 42 nrRuleApplications: 132
Task 00010 Time:3949ms nrAxioms: 440 sizeLargestInferencePremise: 108 nrRuleApplications: 1491
Task 00001 Time:140ms nrAxioms: 93 sizeLargestInferencePremise: 27 nrRuleApplications: 119: true
Task 00002 Time:16ms nrAxioms: 111 sizeLargestInferencePremise: 27 nrRuleApplications: 137: true
Task 00003 Time:23ms nrAxioms: 123 sizeLargestInferencePremise: 27 nrRuleApplications: 153: true
Task 00005 Time:8ms nrAxioms: 89 sizeLargestInferencePremise: 3 nrRuleApplications: 100: true
Task 00006 Time:9ms nrAxioms: 133 sizeLargestInferencePremise: 4 nrRuleApplications: 161: true
Task 00009 Time:22ms nrAxioms: 194 sizeLargestInferencePremise: 19 nrRuleApplications: 479: true
Task 00010 Time:14ms nrAxioms: 160 sizeLargestInferencePremise: 4 nrRuleApplications: 198: true
Task 00001 Time:106ms nrAxioms: 93 sizeLargestInferencePremise: 27 nrRuleApplications: 119: true
Task 00002 Time:23ms nrAxioms: 111 sizeLargestInferencePremise: 27 nrRuleApplications: 137: true
Task 00003 Time:24ms nrAxioms: 123 sizeLargestInferencePremise: 27 nrRuleApplications: 153: true
Task 00005 Time:12ms nrAxioms: 89 sizeLargestInferencePremise: 3 nrRuleApplications: 100: true
Task 00006 Time:14ms nrAxioms: 133 sizeLargestInferencePremise: 4 nrRuleApplications: 161: true
Task 00009 Time:23ms nrAxioms: 194 sizeLargestInferencePremise: 19 nrRuleApplications: 479: true
Task 00010 Time:16ms nrAxioms: 160 sizeLargestInferencePremise: 4 nrRuleApplications: 198: true
Task 00001 Time:122ms nrAxioms: 93 sizeLargestInferencePremise: 27 nrRuleApplications: 119: true
Task 00002 Time:31ms nrAxioms: 111 sizeLargestInferencePremise: 27 nrRuleApplications: 137: true
Task 00003 Time:21ms nrAxioms: 123 sizeLargestInferencePremise: 27 nrRuleApplications: 153: true
Task 00005 Time:10ms nrAxioms: 89 sizeLargestInferencePremise: 3 nrRuleApplications: 100: true
Task 00006 Time:11ms nrAxioms: 133 sizeLargestInferencePremise: 4 nrRuleApplications: 161: true
