Task 00001 Time:3319ms
Task 00002 Time:672ms
Task 00003 Time:611ms
Task 00005 Time:3981ms
Task 00006 Time:45142ms
Task 00001 Time:3478ms nrAxioms: 13 sizeLargestInferencePremise: 2 nrRuleApplications: 13
Task 00002 Time:721ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5
Task 00003 Time:726ms nrAxioms: 6 sizeLargestInferencePremise: 2 nrRuleApplications: 6
Task 00005 Time:3661ms nrAxioms: 6 sizeLargestInferencePremise: 2 nrRuleApplications: 6
Task 00006 Time:40058ms nrAxioms: 7 sizeLargestInferencePremise: 3 nrRuleApplications: 7
Task 00009 Time:3039ms nrAxioms: 11 sizeLargestInferencePremise: 2 nrRuleApplications: 11
Task 00010 Time:907ms nrAxioms: 7 sizeLargestInferencePremise: 2 nrRuleApplications: 7
Task 00001 Time:4067ms nrAxioms: 13 sizeLargestInferencePremise: 2 nrRuleApplications: 13: true
Task 00002 Time:662ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:643ms nrAxioms: 6 sizeLargestInferencePremise: 2 nrRuleApplications: 6: true
Task 00005 Time:3640ms nrAxioms: 6 sizeLargestInferencePremise: 2 nrRuleApplications: 6: true
Task 00006 Time:45928ms nrAxioms: 7 sizeLargestInferencePremise: 3 nrRuleApplications: 7: true
Task 00009 Time:93478ms nrAxioms: 7 sizeLargestInferencePremise: 3 nrRuleApplications: 7: true
Task 00010 Time:211214ms nrAxioms: 7 sizeLargestInferencePremise: 3 nrRuleApplications: 7: true
Task 00001 Time:3172ms nrAxioms: 13 sizeLargestInferencePremise: 2 nrRuleApplications: 13: true
Task 00002 Time:795ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:731ms nrAxioms: 6 sizeLargestInferencePremise: 2 nrRuleApplications: 6: true
Task 00005 Time:3674ms nrAxioms: 6 sizeLargestInferencePremise: 2 nrRuleApplications: 6: true
Task 00006 Time:44801ms nrAxioms: 7 sizeLargestInferencePremise: 3 nrRuleApplications: 7: true
Task 00009 Time:90365ms nrAxioms: 7 sizeLargestInferencePremise: 3 nrRuleApplications: 7: true
Task 00010 Time:198129ms nrAxioms: 7 sizeLargestInferencePremise: 3 nrRuleApplications: 7: true
Task 00001 Time:3358ms nrAxioms: 13 sizeLargestInferencePremise: 2 nrRuleApplications: 13: true
Task 00002 Time:670ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:670ms nrAxioms: 6 sizeLargestInferencePremise: 2 nrRuleApplications: 6: true
Task 00005 Time:3455ms nrAxioms: 6 sizeLargestInferencePremise: 2 nrRuleApplications: 6: true
Task 00006 Time:57398ms nrAxioms: 7 sizeLargestInferencePremise: 3 nrRuleApplications: 7: true
Task 00001 Time:3472ms nrAxioms: 13 sizeLargestInferencePremise: 2 nrRuleApplications: 13: true
Task 00002 Time:919ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:756ms nrAxioms: 6 sizeLargestInferencePremise: 2 nrRuleApplications: 6: true
Task 00005 Time:4715ms nrAxioms: 6 sizeLargestInferencePremise: 2 nrRuleApplications: 6: true
Task 00001 Time:3043ms nrAxioms: 13 sizeLargestInferencePremise: 2 nrRuleApplications: 13: true
Task 00002 Time:771ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:696ms nrAxioms: 6 sizeLargestInferencePremise: 2 nrRuleApplications: 6: true
Task 00005 Time:3418ms nrAxioms: 6 sizeLargestInferencePremise: 2 nrRuleApplications: 6: true
Task 00006 Time:41186ms nrAxioms: 7 sizeLargestInferencePremise: 3 nrRuleApplications: 7: true
Task 00009 Time:69643ms nrAxioms: 7 sizeLargestInferencePremise: 3 nrRuleApplications: 7: true
Task 00002 Time:2229ms nrAxioms: 6 sizeLargestInferencePremise: 2 nrRuleApplications: 6: true
Task 00002 Time:2370ms nrAxioms: 6 sizeLargestInferencePremise: 2 nrRuleApplications: 6: true
Task 00003 Time:1943ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:2250ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:5611ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:3028ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:2442ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
